Message,Prediction
Let's catch up this weekend. Let me know when you're free.,0
You have been selected for a special offer. Don't miss out!,1
Thanks for your help on the recent project.,0
Act now! This deal expires in 24 hours.,1
Can you send me the files for the project?,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Thanks for your help on the recent project.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Thanks for your help on the recent project.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
"Hi, are we still on for the meeting tomorrow?",0
URGENT! Your account has been compromised. Verify your details immediately.,1
Let's catch up this weekend. Let me know when you're free.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Thanks for your help on the recent project.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Please review the attached document for our meeting agenda.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Let's catch up this weekend. Let me know when you're free.,0
You have been selected for a special offer. Don't miss out!,1
Thanks for your help on the recent project.,0
You have been selected for a special offer. Don't miss out!,1
Can you send me the files for the project?,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Thanks for your help on the recent project.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Let's catch up this weekend. Let me know when you're free.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Please review the attached document for our meeting agenda.,0
You have been selected for a special offer. Don't miss out!,1
Can you send me the files for the project?,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Can you send me the files for the project?,0
You have been selected for a special offer. Don't miss out!,1
Thanks for your help on the recent project.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Thanks for your help on the recent project.,0
You have been selected for a special offer. Don't miss out!,1
Can you send me the files for the project?,0
Act now! This deal expires in 24 hours.,1
Please review the attached document for our meeting agenda.,0
You have been selected for a special offer. Don't miss out!,1
Let's catch up this weekend. Let me know when you're free.,0
Act now! This deal expires in 24 hours.,1
Thanks for your help on the recent project.,0
Act now! This deal expires in 24 hours.,1
Thanks for your help on the recent project.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Please review the attached document for our meeting agenda.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Let's catch up this weekend. Let me know when you're free.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
"Hi, are we still on for the meeting tomorrow?",0
URGENT! Your account has been compromised. Verify your details immediately.,1
Please review the attached document for our meeting agenda.,0
Act now! This deal expires in 24 hours.,1
Let's catch up this weekend. Let me know when you're free.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Can you send me the files for the project?,0
Act now! This deal expires in 24 hours.,1
"Hi, are we still on for the meeting tomorrow?",0
URGENT! Your account has been compromised. Verify your details immediately.,1
Let's catch up this weekend. Let me know when you're free.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
"Hi, are we still on for the meeting tomorrow?",0
Act now! This deal expires in 24 hours.,1
Can you send me the files for the project?,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Please review the attached document for our meeting agenda.,0
You have been selected for a special offer. Don't miss out!,1
Can you send me the files for the project?,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Let's catch up this weekend. Let me know when you're free.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Thanks for your help on the recent project.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
"Hi, are we still on for the meeting tomorrow?",0
Act now! This deal expires in 24 hours.,1
Please review the attached document for our meeting agenda.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Please review the attached document for our meeting agenda.,0
Act now! This deal expires in 24 hours.,1
Please review the attached document for our meeting agenda.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Let's catch up this weekend. Let me know when you're free.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
"Hi, are we still on for the meeting tomorrow?",0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Let's catch up this weekend. Let me know when you're free.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Please review the attached document for our meeting agenda.,0
Win a free vacation to the Bahamas! Reply now to claim.,1
"Hi, are we still on for the meeting tomorrow?",0
Win a free vacation to the Bahamas! Reply now to claim.,1
Can you send me the files for the project?,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Thanks for your help on the recent project.,0
Act now! This deal expires in 24 hours.,1
Can you send me the files for the project?,0
Act now! This deal expires in 24 hours.,1
Thanks for your help on the recent project.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Can you send me the files for the project?,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Can you send me the files for the project?,0
You have been selected for a special offer. Don't miss out!,1
Can you send me the files for the project?,0
Win a free vacation to the Bahamas! Reply now to claim.,1
Please review the attached document for our meeting agenda.,0
You have been selected for a special offer. Don't miss out!,1
Thanks for your help on the recent project.,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Can you send me the files for the project?,0
URGENT! Your account has been compromised. Verify your details immediately.,1
Thanks for your help on the recent project.,0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
"Hi, are we still on for the meeting tomorrow?",0
Congratulations! You've won a $1000 gift card. Click here to claim your prize!,1
Let's catch up this weekend. Let me know when you're free.,0
You have been selected for a special offer. Don't miss out!,1
Please review the attached document for our meeting agenda.,0
Act now! This deal expires in 24 hours.,1
Thanks for your help on the recent project.,0
